Region,Country
Southern Europe,Albania
Central Europe,Austria
Eastern Europe,Belarus
Western Europe,Belgium
Southeastern Europe,Bosnia and Herzegovina
Southeastern Europe,Bulgaria
Southeastern Europe,Croatia
Central Europe,Czechia
Northern Europe,Denmark
Northern Europe,Estonia
Northern Europe,Finland
Western Europe,France
Central Europe,Germany
Southern Europe,Greece
Central Europe,Hungary
Northern Europe,Iceland
Western Europe,Ireland
Southern Europe,Italy
Northern Europe,Latvia
Northern Europe,Lithuania
Western Europe,Luxembourg
Southern Europe,Malta
Western Europe,Netherlands
Southeastern Europe,North Macedonia
Northern Europe,Norway
Central Europe,Poland
Southern Europe,Portugal
Eastern Europe,Republic of Moldova
Southeastern Europe,Romania
Eastern Europe,Russian Federation
Southeastern Europe,Serbia
Central Europe,Slovakia
Central Europe,Slovenia
Southern Europe,Spain
Northern Europe,Sweden
Central Europe,Switzerland
Eastern Europe,Ukraine
Western Europe,United Kingdom of Great Britain and Northern Ireland
