Year,Albania,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,North Macedonia,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom of Great Britain and Northern Ireland
2000,1.065,1.769,1.941,1.484,1.525,1.184,1.601,1.914,1.719,2.066,2.024,1.175,1.764,0.679,1.733,0.274,0.577,1.243,2.022,2.026,1.651,1.055,1.595,1.07,1.427,1.887,0.665,1.498,1.338,1.319,1.427,1.621,1.782,0.81,1.721,1.42,1.439,0.724
2001,1.532,1.501,1.979,1.336,1.527,1.648,1.57,1.228,1.044,1.838,1.365,1.391,1.292,1.314,1.391,0.584,0.551,1.533,1.83,1.804,1.433,1.669,1.266,1.587,0.613,1.285,1.165,1.715,1.537,0.813,1.498,1.237,1.706,1.406,1.071,1.45,1.809,0.631
2002,0.492,1.531,1.892,1.398,1.141,0.854,1.233,1.531,1.652,1.483,1.171,1.054,1.491,0.435,1.423,0.784,0.83,0.913,1.73,1.917,1.393,0.942,1.526,0.364,1.386,1.7,0.681,1.455,1.22,1.589,1.01,1.376,1.498,0.812,1.566,1.258,1.553,1.011
2003,0.97,1.464,0.084,1.526,1.088,0.181,1.244,1.081,0.707,0.234,0.713,1.8,1.258,0.385,0.71,1.784,1.024,1.526,0.253,0.182,1.692,1.401,1.207,0.618,1.089,0.366,1.458,-0.181,0.145,0.992,0.738,0.648,1.426,1.598,0.914,1.848,-0.252,1.194
2004,0.444,0.829,0.931,1.089,0.584,0.533,0.633,0.822,1.032,1.184,1.233,0.969,0.998,0.337,0.543,1.235,0.9,0.746,1.027,0.883,1.013,0.699,1.16,0.362,1.3,0.781,1.062,0.721,0.556,1.397,0.516,0.539,0.726,1.004,1.198,0.974,0.93,1.035
2005,0.189,0.628,1.276,1.197,0.124,0.215,0.253,0.752,1.282,1.597,2.201,1.02,1.025,0.213,0.236,0.448,1.175,0.563,1.355,1.206,1.129,0.67,1.252,0.148,1.759,0.881,1.032,0.854,0.298,1.702,-0.037,0.395,0.476,0.902,1.825,0.808,1.023,1.116
2006,0.345,0.907,0.647,1.404,0.594,0.571,0.68,0.957,1.349,1.262,1.204,1.306,1.254,0.254,0.699,1.032,1.159,0.84,1.087,0.923,1.357,0.996,1.507,0.372,1.504,0.835,1.561,0.253,0.514,0.551,0.479,0.629,0.86,1.526,1.485,1.091,0.27,1.25
2007,1.316,2.137,2.362,1.883,1.861,1.883,1.938,2.175,2.136,2.269,1.946,1.407,2.088,1.08,2.142,1.101,1.345,1.552,2.206,2.196,1.94,1.398,2.074,1.518,1.702,2.147,0.775,2.369,2.126,2.49,1.702,2.148,2.165,0.835,1.938,1.804,2.379,1.332
2008,0.978,1.582,2.254,1.256,1.373,1.177,1.416,1.654,1.853,2.607,2.13,0.992,1.542,0.881,1.495,0.753,0.836,1.133,2.403,2.221,1.279,1.271,1.432,1.128,1.619,1.752,0.649,1.532,1.335,2.223,1.267,1.523,1.574,0.864,1.954,1.195,1.621,0.838
2009,0.91,1.544,1.603,1.158,1.379,1.291,1.454,1.435,1.32,1.622,1.695,1.212,1.282,0.771,1.613,0.907,0.804,1.234,1.524,1.396,1.188,1.08,1.223,1.011,1.393,1.274,1.423,1.774,1.617,1.192,1.227,1.496,1.628,1.36,1.432,1.371,1.607,0.948
